id,file,status,source,detail,unknown,opcode_empty
00001,AcademicDegreeRegistry__rename_0000.sol,ok,metadata,F:\RM Datasets\final_augmented_datasets\metadata\rename\AcademicDegreeRegistry__rename_0000.json (deployed_bytecode),,0
00002,AcademicDegreeRegistry__fhe_swap_0000.sol,ok,metadata,F:\RM Datasets\final_augmented_datasets\metadata\fhe_swap\AcademicDegreeRegistry__fhe_swap_0000.json (deployed_bytecode),,0
00003,AcademicDegreeRegistry__dead_code_0000.sol,ok,metadata,F:\RM Datasets\final_augmented_datasets\metadata\dead_code\AcademicDegreeRegistry__dead_code_0000.json (deployed_bytecode),,0
00004,AcademicGrantReview__rename_0000.sol,ok,metadata,F:\RM Datasets\final_augmented_datasets\metadata\rename\AcademicGrantReview__rename_0000.json (deployed_bytecode),,0
00005,AcademicGrantReview__expression_0000.sol,ok,metadata,F:\RM Datasets\final_augmented_datasets\metadata\expression\AcademicGrantReview__expression_0000.json (deployed_bytecode),,0
00006,AcademicGrantReview__fhe_swap_0000.sol,ok,metadata,F:\RM Datasets\final_augmented_datasets\metadata\fhe_swap\AcademicGrantReview__fhe_swap_0000.json (deployed_bytecode),,0
00007,AcademicGrantReview__dead_code_0000.sol,ok,metadata,F:\RM Datasets\final_augmented_datasets\metadata\dead_code\AcademicGrantReview__dead_code_0000.json (deployed_bytecode),,0
00008,AcademicPeerReview__rename_0000.sol,ok,metadata,F:\RM Datasets\final_augmented_datasets\metadata\rename\AcademicPeerReview__rename_0000.json (deployed_bytecode),,0
00009,AcademicPeerReview__expression_0000.sol,ok,metadata,F:\RM Datasets\final_augmented_datasets\metadata\expression\AcademicPeerReview__expression_0000.json (deployed_bytecode),,0
00010,AcademicPeerReview__fhe_swap_0000.sol,ok,metadata,F:\RM Datasets\final_augmented_datasets\metadata\fhe_swap\AcademicPeerReview__fhe_swap_0000.json (deployed_bytecode),,0
00011,AcademicPeerReview__dead_code_0000.sol,ok,metadata,F:\RM Datasets\final_augmented_datasets\metadata\dead_code\AcademicPeerReview__dead_code_0000.json (deployed_bytecode),,0
00012,AccessControlDelegated_b6_010__fhe_swap_0000.sol,ok,metadata,F:\RM Datasets\final_augmented_datasets\metadata\fhe_swap\AccessControlDelegated_b6_010__fhe_swap_0000.json (deployed_bytecode),,0
00013,AccessControlDelegated_b6_010__dead_code_0000.sol,ok,metadata,F:\RM Datasets\final_augmented_datasets\metadata\dead_code\AccessControlDelegated_b6_010__dead_code_0000.json (deployed_bytecode),,0
00014,AccessControlGeofenced_b6_009__rename_0000.sol,ok,metadata,F:\RM Datasets\final_augmented_datasets\metadata\rename\AccessControlGeofenced_b6_009__rename_0000.json (deployed_bytecode),,0
00015,AccessControlGeofenced_b6_009__expression_0000.sol,ok,metadata,F:\RM Datasets\final_augmented_datasets\metadata\expression\AccessControlGeofenced_b6_009__expression_0000.json (deployed_bytecode),,0
00016,AccessControlGeofenced_b6_009__fhe_swap_0000.sol,ok,metadata,F:\RM Datasets\final_augmented_datasets\metadata\fhe_swap\AccessControlGeofenced_b6_009__fhe_swap_0000.json (deployed_bytecode),,0
00017,AccessControlGeofenced_b6_009__dead_code_0000.sol,ok,metadata,F:\RM Datasets\final_augmented_datasets\metadata\dead_code\AccessControlGeofenced_b6_009__dead_code_0000.json (deployed_bytecode),,0
00018,AccessControlMultiTenant_b6_006__rename_0000.sol,ok,metadata,F:\RM Datasets\final_augmented_datasets\metadata\rename\AccessControlMultiTenant_b6_006__rename_0000.json (deployed_bytecode),,0
00019,AccessControlMultiTenant_b6_006__fhe_swap_0000.sol,ok,metadata,F:\RM Datasets\final_augmented_datasets\metadata\fhe_swap\AccessControlMultiTenant_b6_006__fhe_swap_0000.json (deployed_bytecode),,0
00020,AccessControlMultiTenant_b6_006__dead_code_0000.sol,ok,metadata,F:\RM Datasets\final_augmented_datasets\metadata\dead_code\AccessControlMultiTenant_b6_006__dead_code_0000.json (deployed_bytecode),,0
00021,AccessControlRBAC_b6_004__rename_0000.sol,ok,metadata,F:\RM Datasets\final_augmented_datasets\metadata\rename\AccessControlRBAC_b6_004__rename_0000.json (deployed_bytecode),,0
00022,AccessControlRBAC_b6_004__fhe_swap_0000.sol,ok,metadata,F:\RM Datasets\final_augmented_datasets\metadata\fhe_swap\AccessControlRBAC_b6_004__fhe_swap_0000.json (deployed_bytecode),,0
00023,AccessControlRBAC_b6_004__dead_code_0000.sol,ok,metadata,F:\RM Datasets\final_augmented_datasets\metadata\dead_code\AccessControlRBAC_b6_004__dead_code_0000.json (deployed_bytecode),,0
00024,AccessControlSubscription_b6_007__rename_0000.sol,ok,metadata,F:\RM Datasets\final_augmented_datasets\metadata\rename\AccessControlSubscription_b6_007__rename_0000.json (deployed_bytecode),,0
00025,AccessControlSubscription_b6_007__fhe_swap_0000.sol,ok,metadata,F:\RM Datasets\final_augmented_datasets\metadata\fhe_swap\AccessControlSubscription_b6_007__fhe_swap_0000.json (deployed_bytecode),,0
00026,AccessControlSubscription_b6_007__dead_code_0000.sol,ok,metadata,F:\RM Datasets\final_augmented_datasets\metadata\dead_code\AccessControlSubscription_b6_007__dead_code_0000.json (deployed_bytecode),,0
00027,AccessControlTimeGated_b6_005__rename_0000.sol,ok,metadata,F:\RM Datasets\final_augmented_datasets\metadata\rename\AccessControlTimeGated_b6_005__rename_0000.json (deployed_bytecode),,0
00028,AccessControlTimeGated_b6_005__fhe_swap_0000.sol,ok,metadata,F:\RM Datasets\final_augmented_datasets\metadata\fhe_swap\AccessControlTimeGated_b6_005__fhe_swap_0000.json (deployed_bytecode),,0
00029,AccessControlTimeGated_b6_005__dead_code_0000.sol,ok,metadata,F:\RM Datasets\final_augmented_datasets\metadata\dead_code\AccessControlTimeGated_b6_005__dead_code_0000.json (deployed_bytecode),,0
00030,AccessControlWhitelist_b3_001__rename_0000.sol,ok,metadata,F:\RM Datasets\final_augmented_datasets\metadata\rename\AccessControlWhitelist_b3_001__rename_0000.json (deployed_bytecode),,0
00031,AccessControlWhitelist_b3_001__dead_code_0000.sol,ok,metadata,F:\RM Datasets\final_augmented_datasets\metadata\dead_code\AccessControlWhitelist_b3_001__dead_code_0000.json (deployed_bytecode),,0
00032,AgriculturePrivateCommodityHedge__rename_0000.sol,ok,metadata,F:\RM Datasets\final_augmented_datasets\metadata\rename\AgriculturePrivateCommodityHedge__rename_0000.json (deployed_bytecode),,0
