id,file,labels
0001,AcademicDegreeRegistry.sol,"[0, 0, 0]"
0002,AcademicGrantReview.sol,"[0, 0, 0]"
0003,AcademicPeerReview.sol,"[0, 0, 0]"
0004,AccessControlDelegated_b6_010.sol,"[0, 0, 0]"
0005,AccessControlGeofenced_b6_009.sol,"[0, 0, 0]"
0006,AccessControlMultiTenant_b6_006.sol,"[0, 0, 0]"
0007,AccessControlNFTGated_b6_008.sol,"[0, 0, 0]"
0008,AccessControlRBAC_b6_004.sol,"[0, 0, 0]"
0009,AccessControlSubscription_b6_007.sol,"[0, 0, 0]"
0010,AccessControlTimeGated_b6_005.sol,"[0, 0, 0]"
0011,AccessControlWhitelist_b3_001.sol,"[0, 0, 0]"
0012,AgriculturePrivateCommodityHedge.sol,"[0, 0, 0]"
0013,AMLKYCRegistry.sol,"[0, 0, 0]"
0014,AnonymousDAOVoting.sol,"[0, 0, 0]"
0015,AnonymousPeerReview_b12_003.sol,"[0, 0, 0]"
0016,AnonymousWhistleblowerBounty.sol,"[0, 0, 0]"
0017,AntiMoneyLaunderingFlag.sol,"[0, 0, 0]"
0018,ArtworkBlindAuction.sol,"[0, 0, 0]"
0019,ArtworkProvenance.sol,"[0, 0, 0]"
0020,AuctionArtNFTFractional.sol,"[0, 0, 0]"
0021,AuctionCarbonCredit.sol,"[0, 0, 0]"
0022,AuctionElectricityCapacity.sol,"[0, 0, 0]"
0023,AuctionFrequencySpectrum.sol,"[0, 0, 0]"
0024,AuctionGovernmentGrantBid.sol,"[0, 0, 0]"
0025,AuctionLandLease.sol,"[0, 0, 0]"
0026,AuctionLogisticsRoute.sol,"[0, 0, 0]"
0027,AuctionMediaBroadcastRights.sol,"[0, 0, 0]"
0028,AuctionMunicipalBond.sol,"[0, 0, 0]"
0029,AuctionPharmaceuticalLicense.sol,"[0, 0, 0]"
0030,AuctionPrivateEquityStake.sol,"[0, 0, 0]"
0031,AuctionRealEstateDistressed.sol,"[0, 0, 0]"
0032,AuctionResearchContract.sol,"[0, 0, 0]"
0033,AuctionShippingContainerSlot.sol,"[0, 0, 0]"
0034,AuctionTimeLock_b2_002.sol,"[0, 0, 0]"
0035,AuctionWaterRights.sol,"[0, 0, 0]"
0036,AzureRemittanceToken.sol,"[0, 0, 0]"
0037,AzureSkyToken.sol,"[0, 0, 0]"
0038,BlindAuction.sol,"[0, 0, 0]"
0039,BlindAuctionMulti_b3_005.sol,"[0, 0, 0]"
0040,BlindBingoGame.sol,"[0, 0, 0]"
0041,BlindDutchAuction_b13_004.sol,"[0, 0, 0]"
0042,BlindEscrow_b7_003.sol,"[0, 0, 0]"
0043,BlindKPIBonus_b8_002.sol,"[0, 0, 0]"
0044,BlindMatchmakingDating.sol,"[0, 0, 0]"
0045,BlindPeerReviewSystem.sol,"[0, 0, 0]"
0046,BlindPokerHand.sol,"[0, 0, 0]"
0047,BlindRockPaperScissors_b9_002.sol,"[0, 0, 0]"
0048,BlindSealedTender.sol,"[0, 0, 0]"
0049,BlindSpeedDatingMatch.sol,"[0, 0, 0]"
0050,BlindTaxCollection_b6_003.sol,"[0, 0, 0]"
0051,BlindVickreyAuction_b11_005.sol,"[0, 0, 0]"
0052,BoardOfDirectorsElection.sol,"[0, 0, 0]"
0053,CarbonCreditAuction.sol,"[0, 0, 0]"
0054,CarbonTradingExchange.sol,"[0, 0, 0]"
0055,ClimateResearchFundVote.sol,"[0, 0, 0]"
0056,ClinicalDrugTrialBlind.sol,"[0, 0, 0]"
0057,CloakedCompounder.sol,"[0, 0, 0]"
0058,CommunityGardenPlotVote.sol,"[0, 0, 0]"
0060,ConfidentialBountyBoard.sol,"[0, 0, 0]"
0059,ConfidentialBounty_b7_001.sol,"[0, 0, 0]"
0061,ConfidentialCallOption_b9_001.sol,"[0, 0, 0]"
0062,ConfidentialCarbonTaxRebateDistribution.sol,"[0, 0, 0]"
0063,ConfidentialClinicalTrial.sol,"[0, 0, 0]"
0064,ConfidentialCreditDelegation.sol,"[0, 0, 0]"
0065,ConfidentialCrossChainBridgeToken.sol,"[0, 0, 0]"
0066,ConfidentialCrossMarginLending.sol,"[0, 0, 0]"
0067,ConfidentialCryptocurrencyExchangeOrderBook.sol,"[0, 0, 0]"
0068,ConfidentialDAOTreasury_b8_001.sol,"[0, 0, 0]"
0069,ConfidentialDocumentVault.sol,"[0, 0, 0]"
0070,ConfidentialElectionCommissionVoting.sol,"[0, 0, 0]"
0071,ConfidentialEmployeeBonusSystem.sol,"[0, 0, 0]"
0072,ConfidentialERC20StableCoin.sol,"[0, 0, 0]"
0073,ConfidentialEscrow_b12_004.sol,"[0, 0, 0]"
0074,ConfidentialExecutiveSalaryBand.sol,"[0, 0, 0]"
0075,ConfidentialFeeOnTransferToken.sol,"[0, 0, 0]"
0076,ConfidentialGridEnergyTrade.sol,"[0, 0, 0]"
0077,ConfidentialInsurancePremiumToken.sol,"[0, 0, 0]"
0078,ConfidentialInvoiceFactoring.sol,"[0, 0, 0]"
0079,ConfidentialKYCRegistry.sol,"[0, 0, 0]"
0080,ConfidentialLimitOrder_b6_001.sol,"[0, 0, 0]"
0081,ConfidentialLotteryJackpot.sol,"[0, 0, 0]"
0082,ConfidentialLoyaltyPoints_b11_009.sol,"[0, 0, 0]"
0083,ConfidentialMarginPosition.sol,"[0, 0, 0]"
0084,ConfidentialMatchmaking.sol,"[0, 0, 0]"
0085,ConfidentialMicroLendingPlatform.sol,"[0, 0, 0]"
0086,ConfidentialMilitaryPensionFundManager.sol,"[0, 0, 0]"
0087,ConfidentialNexusGovernanceToken.sol,"[0, 0, 0]"
0088,ConfidentialOilGasPipelineRevenueShare.sol,"[0, 0, 0]"
0089,ConfidentialOmegaStablecoin.sol,"[0, 0, 0]"
0090,ConfidentialOptionPricing_b13_001.sol,"[0, 0, 0]"
0091,ConfidentialOrganDonorRegistry.sol,"[0, 0, 0]"
0093,ConfidentialPayrollVault.sol,"[0, 0, 0]"
0092,ConfidentialPayroll_b4_001.sol,"[0, 0, 0]"
0094,ConfidentialPeerToPeerInsurancePool.sol,"[0, 0, 0]"
0095,ConfidentialPolarisRewardToken.sol,"[0, 0, 0]"
0096,ConfidentialRealEstateTokenization.sol,"[0, 0, 0]"
0097,ConfidentialReInsurancePool.sol,"[0, 0, 0]"
0098,ConfidentialReinsuranceTreaty.sol,"[0, 0, 0]"
0099,ConfidentialScholarTokenWithMeritGating.sol,"[0, 0, 0]"
0100,ConfidentialStakingYieldOptimizer.sol,"[0, 0, 0]"
0101,ConfidentialSupplyChain.sol,"[0, 0, 0]"
0102,ConfidentialSupplyChainBidding.sol,"[0, 0, 0]"
0103,ConfidentialSupplyChainFinanceToken.sol,"[0, 0, 0]"
0104,ConfidentialSyntheticIndexToken.sol,"[0, 0, 0]"
0105,ConfidentialTokenBase.sol,"[0, 0, 0]"
0106,ConfidentialTokenizedRealEstateInvestmentTrust.sol,"[0, 0, 0]"
0107,ConfidentialTokenStreamer.sol,"[0, 0, 0]"
0109,ConfidentialTradeFinanceLCExtended.sol,"[0, 0, 0]"
0108,ConfidentialTradeFinanceLetterOfCredit.sol,"[0, 0, 0]"
0110,ConfidentialVentureFund.sol,"[0, 0, 0]"
0111,ConfidentialVestingTreasuryToken.sol,"[0, 0, 0]"
0112,ConfidentialYieldToken.sol,"[0, 0, 0]"
0113,CorporateBoardElection.sol,"[0, 0, 0]"
0114,CorporateExpenseShield.sol,"[0, 0, 0]"
0115,CorporateVestingShield.sol,"[0, 0, 0]"
0116,CorporateVestingVault.sol,"[0, 0, 0]"
0117,CovertDCA.sol,"[0, 0, 0]"
0118,CrimsonPeakToken.sol,"[0, 0, 0]"
0119,CrimsonTreasuryToken.sol,"[0, 0, 0]"
0120,CryptoLotteryDraw.sol,"[0, 0, 0]"
0121,CybersecurityPrivateBugBounty.sol,"[0, 0, 0]"
0122,DAOParameterVote.sol,"[0, 0, 0]"
0123,DaoTreasuryRisk_b11_010.sol,"[0, 0, 0]"
0124,DarkOracleArb.sol,"[0, 0, 0]"
0125,DarkOTCDesk.sol,"[0, 0, 0]"
0126,DarkpoolAMM_b10_001.sol,"[0, 0, 0]"
0127,DarkPoolBondingCurve.sol,"[0, 0, 0]"
0128,DarkPoolLaunchpad.sol,"[0, 0, 0]"
0129,DarkpoolOrderBook.sol,"[0, 0, 0]"
