id,file,acl_misconfig,arithmetic_overflow_underflow,callback_replay
121,CybersecurityPrivateBugBounty.sol,0,0,0
51,BlindVickreyAuction_b11_005.sol,0,0,0
55,ClimateResearchFundVote.sol,0,0,0
47,BlindRockPaperScissors_b9_002.sol,0,0,0
246,EncryptedFishingQuotaTrading.sol,0,0,0
136,DeFiDarkPoolSwap.sol,0,0,0
172,EncryptedBiometricAccessControl.sol,0,0,0
4,AccessControlDelegated_b6_010.sol,0,0,0
204,EncryptedCreditScore_b11_002.sol,0,0,0
222,EncryptedDecentralizedAnonymousSurvey.sol,0,0,0
80,ConfidentialLimitOrder_b6_001.sol,0,0,0
170,EncryptedBiogasPlantEnergyCertificate.sol,0,0,0
212,EncryptedCrowdfundingVault.sol,0,0,0
131,DecentralizedPassport.sol,0,0,0
71,ConfidentialEmployeeBonusSystem.sol,0,0,0
235,EncryptedElectionBallotSystem.sol,0,0,0
128,DarkPoolLaunchpad.sol,0,0,0
244,EncryptedFactoringPlatformReceivables.sol,0,0,0
187,EncryptedCarbonTaxObligationRegistry.sol,0,0,0
226,EncryptedDeFiCrossChainBridgeCompliance.sol,0,0,0
133,DeFiConfidentialFuturesClearing.sol,0,0,0
175,EncryptedBlindBidAuctionHouse.sol,0,0,0
39,BlindAuctionMulti_b3_005.sol,0,0,0
92,ConfidentialPayroll_b4_001.sol,0,0,0
206,EncryptedCreditScoreOracle.sol,0,0,0
97,ConfidentialReInsurancePool.sol,0,0,0
105,ConfidentialTokenBase.sol,0,0,0
229,EncryptedDistrictHeatingNetworkBid.sol,0,0,0
119,CrimsonTreasuryToken.sol,0,0,0
122,DAOParameterVote.sol,0,0,0
90,ConfidentialOptionPricing_b13_001.sol,0,0,0
179,EncryptedCarbonBorderAdjustmentMechanism.sol,0,0,0
134,DeFiConfidentialLiquidityPool.sol,0,0,0
241,EncryptedEsportsTournamentStaking.sol,0,0,0
219,EncryptedCyberInsuranceUnderwriting.sol,0,0,0
247,EncryptedFlightDelayInsurance copy.sol,0,0,0
186,EncryptedCarbonSequestrationVerification.sol,0,0,0
242,EncryptedEsportsWager.sol,0,0,0
52,BoardOfDirectorsElection.sol,0,0,0
160,EncryptedAircraftLeaseFinancing.sol,0,0,0
180,EncryptedCarbonBudgetRegistry.sol,0,0,0
76,ConfidentialGridEnergyTrade.sol,0,0,0
85,ConfidentialMicroLendingPlatform.sol,0,0,0
8,AccessControlRBAC_b6_004.sol,0,0,0
239,EncryptedEscrowService.sol,0,0,0
178,EncryptedBuildingAccessControl.sol,0,0,0
89,ConfidentialOmegaStablecoin.sol,0,0,0
237,EncryptedElectricityGridBalancing.sol,0,0,0
162,EncryptedAircraftMaintenanceBid.sol,0,0,0
151,EmberCoinToken.sol,0,0,0
25,AuctionLandLease.sol,0,0,0
127,DarkPoolBondingCurve.sol,0,0,0
81,ConfidentialLotteryJackpot.sol,0,0,0
153,EncryptedAcademicDegree.sol,0,0,0
102,ConfidentialSupplyChainBidding.sol,0,0,0
181,EncryptedCarbonCaptureCredit.sol,0,0,0
209,EncryptedCrossChainLiquidityBridge.sol,0,0,0
38,BlindAuction.sol,0,0,0
250,EncryptedFoodFranchiseeRoyaltyCalculation.sol,0,0,0
210,EncryptedCrowdfundedInfrastructureBond.sol,0,0,0
154,EncryptedAccessControlRBACWithTimelock.sol,0,0,0
116,CorporateVestingVault.sol,0,0,0
27,AuctionMediaBroadcastRights.sol,0,0,0
21,AuctionCarbonCredit.sol,0,0,0
189,EncryptedCentralBankDigitalCurrency.sol,0,0,0
223,EncryptedDecentralizedCreditBureau.sol,0,0,0
34,AuctionTimeLock_b2_002.sol,0,0,0
9,AccessControlSubscription_b6_007.sol,0,0,0
147,DeFiPrivateSyntheticAsset.sol,0,0,0
150,EducationPrivateCredential.sol,0,0,0
26,AuctionLogisticsRoute.sol,0,0,0
109,ConfidentialTradeFinanceLCExtended.sol,0,0,0
30,AuctionPrivateEquityStake.sol,0,0,0
227,EncryptedDiceRollingGame.sol,0,0,0
10,AccessControlTimeGated_b6_005.sol,0,0,0
113,CorporateBoardElection.sol,0,0,0
59,ConfidentialBounty_b7_001.sol,0,0,0
156,EncryptedAgricultureCropInsurance.sol,0,0,0
224,EncryptedDecentralizedIdentityRegistry.sol,0,0,0
5,AccessControlGeofenced_b6_009.sol,0,0,0
99,ConfidentialScholarTokenWithMeritGating.sol,0,0,0
68,ConfidentialDAOTreasury_b8_001.sol,0,0,0
135,DeFiConfidentialStablecoinPeg.sol,0,0,0
125,DarkOTCDesk.sol,0,0,0
73,ConfidentialEscrow_b12_004.sol,0,0,0
132,DeFiConfidentialBridge.sol,0,0,0
129,DarkpoolOrderBook.sol,0,0,0
163,EncryptedAirdropDistributor.sol,0,0,0
96,ConfidentialRealEstateTokenization.sol,0,0,0
95,ConfidentialPolarisRewardToken.sol,0,0,0
28,AuctionMunicipalBond.sol,0,0,0
166,EncryptedAnonymousWhistleblowerRewardScheme.sol,0,0,0
57,CloakedCompounder.sol,0,0,0
144,DeFiPrivateOptionsVault.sol,0,0,0
3,AcademicPeerReview.sol,0,0,0
33,AuctionShippingContainerSlot.sol,0,0,0
69,ConfidentialDocumentVault.sol,0,0,0
108,ConfidentialTradeFinanceLetterOfCredit.sol,0,0,0
101,ConfidentialSupplyChain.sol,0,0,0
139,DeFiEncryptedOptionsMarketMaker.sol,0,0,0
49,BlindSpeedDatingMatch.sol,0,0,0
56,ClinicalDrugTrialBlind.sol,0,0,0
67,ConfidentialCryptocurrencyExchangeOrderBook.sol,0,0,0
53,CarbonCreditAuction.sol,0,0,0
171,EncryptedBiomedicalDataMarket.sol,0,0,0
87,ConfidentialNexusGovernanceToken.sol,0,0,0
29,AuctionPharmaceuticalLicense.sol,0,0,0
248,EncryptedFlightDelayInsurance.sol,0,0,0
82,ConfidentialLoyaltyPoints_b11_009.sol,0,0,0
107,ConfidentialTokenStreamer.sol,0,0,0
13,AMLKYCRegistry.sol,0,0,0
243,EncryptedEVChargingMarket.sol,0,0,0
157,EncryptedAIModelMarketplace.sol,0,0,0
149,DeFiPrivateYieldAggregator.sol,0,0,0
1,AcademicDegreeRegistry.sol,0,0,0
192,EncryptedChessWager.sol,0,0,0
173,EncryptedBiometricAccessVault.sol,0,0,0
93,ConfidentialPayrollVault.sol,0,0,0
199,EncryptedCommunityTreasury.sol,0,0,0
63,ConfidentialClinicalTrial.sol,0,0,0
220,EncryptedCybersecurityBugBounty.sol,0,0,0
83,ConfidentialMarginPosition.sol,0,0,0
146,DeFiPrivateStructuredProduct.sol,0,0,0
40,BlindBingoGame.sol,0,0,0
145,DeFiPrivateRevenueSplit.sol,0,0,0
198,EncryptedCommunityDevelopmentFinance.sol,0,0,0
207,EncryptedCrossChainAtomicSwap.sol,0,0,0
234,EncryptedElderCareHomePlacementFund.sol,0,0,0
14,AnonymousDAOVoting.sol,0,0,0
240,EncryptedEsportsOrganizationContract.sol,0,0,0
216,EncryptedCryptoExchangeMarginEngine.sol,0,0,0
6,AccessControlMultiTenant_b6_006.sol,0,0,0
86,ConfidentialMilitaryPensionFundManager.sol,0,0,0
167,EncryptedAthleteSponsorshipToken.sol,0,0,0
159,EncryptedAircraftEngineLeaseTracker.sol,0,0,0
190,EncryptedCentralBankReserveAudit.sol,0,0,0
185,EncryptedCarbonEmissionsTrading.sol,0,0,0
169,EncryptedBalanceERC20WithVesting.sol,0,0,0
148,DeFiPrivateVault.sol,0,0,0
79,ConfidentialKYCRegistry.sol,0,0,0
214,EncryptedCryptocurrencyOTCDealerBook.sol,0,0,0
120,CryptoLotteryDraw.sol,0,0,0
215,EncryptedCryptoDerivativesExchange.sol,0,0,0
115,CorporateVestingShield.sol,0,0,0
84,ConfidentialMatchmaking.sol,0,0,0
124,DarkOracleArb.sol,0,0,0
46,BlindPokerHand.sol,0,0,0
104,ConfidentialSyntheticIndexToken.sol,0,0,0
91,ConfidentialOrganDonorRegistry.sol,0,0,0
19,ArtworkProvenance.sol,0,0,0
249,EncryptedFoodBankAllocationSystem.sol,0,0,0
88,ConfidentialOilGasPipelineRevenueShare.sol,0,0,0
245,EncryptedFisheryQuotaTrading.sol,0,0,0
112,ConfidentialYieldToken.sol,0,0,0
74,ConfidentialExecutiveSalaryBand.sol,0,0,0
221,EncryptedDebtRestructuringNegotiation.sol,0,0,0
22,AuctionElectricityCapacity.sol,0,0,0
152,EmploymentCredentialNFT.sol,0,0,0
94,ConfidentialPeerToPeerInsurancePool.sol,0,0,0
208,EncryptedCrossChainForexSettlement.sol,0,0,0
